feature_id,media_id,type,path,source_url,source_path,version,start,end
XMI-F05,XC22-02,video,../../media/mobile-v2/local/assets/clips/XC22-02-v22-0013000-0026467.mp4,https://bbs.tatans.cn/topic/78284,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC21-community-camera.mp4,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,13,26.46666666666667
XMI-F05,XC22-03,video,../../media/mobile-v2/local/assets/clips/XC22-03-v22-0068500-0074467.mp4,https://bbs.tatans.cn/topic/78284,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC21-community-camera.mp4,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,68.5,74.46666666666667
XMI-F05,EXT-010,image,../../media/mobile-v2/legacy/assets/images/EXT-010-v1.jpg,https://app.mi.com/details?id=com.miui.voiceassist,,,,
XMI-F05,XC22-UPLOAD,image,../../media/mobile-v2/local/assets/thumbs/XC22-UPLOAD-v22.png,https://bbs.tatans.cn/topic/78284,,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,,
XMI-F05,XC22-ANSWER,image,../../media/mobile-v2/local/assets/thumbs/XC22-ANSWER-v22.png,https://bbs.tatans.cn/topic/78284,,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,,
XMI-F05,XC22-UPLOAD-THUMB,image,../../media/mobile-v2/local/assets/thumbs/XC22-UPLOAD-THUMB-v22.png,https://bbs.tatans.cn/topic/78284,,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,,
XMI-F05,XC22-UPLOAD-CONTROLS,image,../../media/mobile-v2/local/assets/thumbs/XC22-UPLOAD-CONTROLS-v22.png,https://bbs.tatans.cn/topic/78284,,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,,
XMI-F06,XC15-01,video,../../media/mobile-v2/local/assets/clips/XC15-01-v15-0029200-0036000.mp4,https://www.bilibili.com/video/BV1f91eBVESQ/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC15-circle-BV1f91eBVESQ.mp4,HyperOS3（作者标题）/ 2025-11社区手机实录 / 中文界面；机型、build及ROM市场未标,29.2,36
XMI-F06,XC15-02,video,../../media/mobile-v2/local/assets/clips/XC15-02-v15-0083800-0090000.mp4,https://www.bilibili.com/video/BV1f91eBVESQ/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC15-circle-BV1f91eBVESQ.mp4,HyperOS3（作者标题）/ 2025-11社区手机实录 / 中文界面；机型、build及ROM市场未标,83.8,90
XMI-F06,EXT-010,image,../../media/mobile-v2/legacy/assets/images/EXT-010-v1.jpg,https://app.mi.com/details?id=com.miui.voiceassist,,,,
XMI-F07,X4-V04,video,../../media/mobile-v2/legacy/assets/clips/X4-V04-v1-000000-005533.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspNav-pc.mp4,,HyperOS4 Beta／小爱8.1+,0,5.533
XMI-F07,X4-V05,video,../../media/mobile-v2/legacy/assets/clips/X4-V05-v1-000000-005800.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspSame-pc.mp4,,HyperOS4 Beta／小爱8.1+,0,5.8
XMI-F07,X4-V06,video,../../media/mobile-v2/legacy/assets/clips/X4-V06-v1-000000-007333.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspSched-pc.mp4,,HyperOS4 Beta／小爱8.1+,0,7.333
XMI-F07,X4-V07,video,../../media/mobile-v2/legacy/assets/clips/X4-V07-v1-000000-007800.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspPhoto-pc.mp4,,HyperOS4 Beta／小爱8.1+,0,7.8
XMI-F08,XC25-CAMERA-ENTRY,image,../../media/mobile-v2/local/assets/thumbs/XC25-CAMERA-ENTRY-v25.png,https://www.10100.com/article/32894989,,2025-08 HyperOS3发布会画面；机型、build与小爱版本未标,,
XMI-F08,XC25-CAMERA-CONTROL,image,../../media/mobile-v2/local/assets/thumbs/XC25-CAMERA-CONTROL-v25.png,https://www.10100.com/article/32894989,,2025-08 HyperOS3发布会画面；机型、build与小爱版本未标,,
XMI-F19,XC22-ATTACHMENT-ENTRY,image,../../media/mobile-v2/local/assets/thumbs/XC22-ATTACHMENT-ENTRY-v22.png,https://app.mi.com/details?id=com.miui.voiceassist,,官方宣传界面局部；截图机型和具体版本未标,,
XMI-F19,EXT-012,image,../../media/mobile-v2/legacy/assets/images/EXT-012-v1.jpg,https://app.mi.com/details?id=com.miui.voiceassist,,,,
XMI-F09,XM26-01,video,../../media/mobile-v2/local/assets/clips/XM26-01-v26-0250000-0259300.mp4,https://www.bilibili.com/video/BV1Tmgw6LE86/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XM01-hyperos4-handson.mp4,HyperOS 4内测体验 / 中国大陆 / 实拍机型、系统build与小爱小版本未独立核实,250,259.3
XMI-F09,IMG-212,image,../../media/mobile-v2/legacy/assets/images/IMG-212-v1.jpg,https://os.mi.com/,,,,
XMI-F09,EXT-008,image,../../media/mobile-v2/legacy/assets/images/EXT-008-v1.jpg,https://app.mi.com/details?id=com.miui.voiceassist,,,,
XMI-F10,IMG-194,image,../../media/mobile-v2/legacy/assets/images/IMG-194-v1.jpg,https://os.mi.com/,,,,
XMI-F11,X4-V01,video,../../media/mobile-v2/legacy/assets/clips/X4-V01-v1-000000-009800.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-taskIsland-pc-0812.mp4,,HyperOS4 Beta／小爱8.1+,0,9.8
XMI-F11,X4-V02,video,../../media/mobile-v2/legacy/assets/clips/X4-V02-v1-000000-003533.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-thinkDone-pc-0812.mp4,,HyperOS4 Beta／小爱8.1+,0,3.533
XMI-F13,XMI-F13-DETAIL7-0,image,../../media/mobile-v2/local/assets/thumbs/XMI-F13-DETAIL7-0.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F13,XMI-F13-DETAIL7-1,image,../../media/mobile-v2/local/assets/thumbs/XMI-F13-DETAIL7-1.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F13,XMI-F13-DETAIL7-2,image,../../media/mobile-v2/local/assets/thumbs/XTIDY9-F13-DETAIL7-2.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F13,XMIKEY7-A,image,../../media/mobile-v2/local/assets/thumbs/XMIKEY7-A-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F13,XMIKEY7-B,image,../../media/mobile-v2/local/assets/thumbs/XMIKEY7-B-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F13,XMIKEY7-C,image,../../media/mobile-v2/local/assets/thumbs/XMIKEY7-C-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F13,XMIKEY7-MEMORY,image,../../media/mobile-v2/local/assets/thumbs/XMIKEY7-MEMORY-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F13,XMIT7-28,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-28-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F13,XMIT7-29,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-29-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F14,XOFF8-ENTRY,image,../../media/mobile-v2/local/assets/thumbs/XOFF8-ENTRY-v8.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 中国大陆 / 2026-08专业实测,,
XMI-F14,XOFF8-REQUEST,image,../../media/mobile-v2/local/assets/thumbs/XOFF8-REQUEST-v8.png,https://article.pchome.net/content-2197532.html,,HyperOS 4 Beta / 中国大陆 / 2026-08专业实测,,
XMI-F14,XOFF8-RESULT,image,../../media/mobile-v2/local/assets/thumbs/XOFF8-RESULT-v8.png,https://article.pchome.net/content-2197532.html,,HyperOS 4 Beta / 中国大陆 / 2026-08专业实测,,
XMI-F14,XMIT7-21,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-21-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / IT之家2026-08 / 中国,,
XMI-F14,XOFF8-13,image,../../media/mobile-v2/local/sources/XOFF8-13.jpg,https://article.pchome.net/content-2197532.html,,小米17Ultra/17Pro / 4.0.0.17 Beta / PChome2026-08-14,,
XMI-F16,XC8-REC-SUMMARY,image,../../media/mobile-v2/local/assets/thumbs/XC8-REC-SUMMARY-v8.png,https://article.pchome.net/content-2197532.html,,HyperOS 4 / 4.0.0.17 Beta / PChome 2026-08-14,,
XMI-F16,XC8-REC-OUTLINE,image,../../media/mobile-v2/local/assets/thumbs/XC8-REC-OUTLINE-v8.png,https://article.pchome.net/content-2197532.html,,HyperOS 4 / 4.0.0.17 Beta / PChome 2026-08-14,,
XMI-F16,XC8-REC-FULL,image,../../media/mobile-v2/local/assets/thumbs/XC8-REC-FULL-v8.png,https://article.pchome.net/content-2197532.html,,HyperOS 4 / 4.0.0.17 Beta / PChome 2026-08-14,,
XMI-F15,XM40-01,video,../../media/mobile-v2/local/assets/clips/XM40-01-v40-0000000-0006533.mp4,https://os.mi.com/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XM40-S01-hyperos4-official-notes.mp4,官网Xiaomi HyperOS 4语境；页面列Beta推送计划，素材未显示具体build或笔记应用版本,0,6.533333333333333
XMI-F15,XMI-F15-DETAIL7-0,image,../../media/mobile-v2/local/assets/thumbs/XMI-F15-DETAIL7-0.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F15,XMI-F15-DETAIL7-1,image,../../media/mobile-v2/local/assets/thumbs/XMI-F15-DETAIL7-1.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F15,XMI-F15-DETAIL7-2,image,../../media/mobile-v2/local/assets/thumbs/XTIDY9-F15-DETAIL7-2.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / 2026-08 IT之家手机实测,,
XMI-F15,XMINOTE7-A,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-A-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMINOTE7-B,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-B-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMINOTE7-C,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-C-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMINOTE7-TRANSCRIPT,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-TRANSCRIPT-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMINOTE7-SUMMARY,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-SUMMARY-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMINOTE7-QA,image,../../media/mobile-v2/local/assets/thumbs/XMINOTE7-QA-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMIT7-25,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-25-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMIT7-26,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-26-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMIT7-27,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-27-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 2026-08 IT之家手机实测 / 中国大陆,,
XMI-F15,XMI-NOTE-V3,image,../../media/mobile-v2/local/assets/thumbs/XMI-NOTE-V3.png,https://hyperos.mi.com/,,HyperOS4中国大陆官网展示,,
XMI-F18,RE04,video,../../media/mobile-v2/local/assets/clips/RE04-v2-0630000-0634000.mp4,https://www.youtube.com/watch?v=DkWTbd94WFs,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/REF01-five-brand-handson.mp4,片中系统见各流程,630,634
OPP-F01,RE01,video,../../media/mobile-v2/local/assets/clips/RE01-v2-0540300-0544000.mp4,https://www.youtube.com/watch?v=DkWTbd94WFs,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/REF01-five-brand-handson.mp4,片中系统见各流程,540.3,544
OPP-F19,OP01,video,../../media/mobile-v2/local/assets/clips/OP01-v2-0009000-0023000.mp4,https://www.bilibili.com/video/BV12nLn6VEWw/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP01-live-screen.mp4,OPPO / 金标ColorOS 16 / 中国大陆,9,23
OPP-F02,OP25-01,video,../../media/mobile-v2/local/assets/clips/OP25-01-v25-0010000-0016400.mp4,https://www.coloros.com/article/A00000125/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP25-coloros16-realworld-official.mp4,ColorOS16官方教程 · 2026-01-06 · 实际机型与build未标,10,16.4
OPP-F02,OP25-02,video,../../media/mobile-v2/local/assets/clips/OP25-02-v25-0040200-0046200.mp4,https://www.coloros.com/article/A00000125/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP25-coloros16-realworld-official.mp4,ColorOS16官方教程 · 2026-01-06 · 实际机型与build未标,40.2,46.2
OPP-F02,OP25-03,video,../../media/mobile-v2/local/assets/clips/OP25-03-v25-0046200-0052200.mp4,https://www.coloros.com/article/A00000125/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP25-coloros16-realworld-official.mp4,ColorOS16官方教程 · 2026-01-06 · 实际机型与build未标,46.2,52.2
OPP-F02,MED-V004,video,../../media/mobile-v2/legacy/assets/clips/MED-V004-v1-002200-011900.mp4,https://coloros-website-cn.allawnfs.com/website-resource-20260421/os1611776774710000/video/module3/%E5%AE%9E%E6%99%AF%E5%AF%B9%E8%AF%9D.mp4,,ColorOS官方演示／片中版本未标,2.2,11.9
OPP-F02,OP-V02,video,../../media/mobile-v2/legacy/assets/clips/OP-V02-v1-033500-040800.mp4,https://www.oppo.com/content/dam/oppo_com/oppo/event-page-asset/oppo-ai/cn/v1/assets/videos-tips-7-zh.mp4,,ColorOS16／指定机型官方演示,33.5,40.8
OPP-F03,OGS7-01,video,../../media/mobile-v2/local/assets/clips/OGS7-01-v7b-0013000-0025000.mp4,https://www.oppo.com/cn/how-to/list/video-54/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OG7-F03-official-screen-2022.mp4,2022年OPPO官方历史识屏教程 / 中国大陆 / 系统版本未标,13,25
OPP-F04,OPP-CAPSULE-V4,image,../../media/mobile-v2/local/assets/thumbs/OPP-CAPSULE-official-v4.png,https://www.coloros.com/version/coloros15/,,ColorOS15中国官网 / 历史演示,,
OPP-F05,OGDOC7-A,image,../../media/mobile-v2/local/assets/thumbs/OGDOC7-A-crop-v7.png,https://www.oppo.cn/thread-402316387-1,,ColorOS14（作者正文声明）；具体小布版本未知；入口在左侧，不等同16手册右下角附件,,
OPP-F05,OGDOC7-B,image,../../media/mobile-v2/local/assets/thumbs/OGDOC7-B-crop-v7.png,https://www.oppo.cn/thread-402316387-1,,ColorOS14（作者正文声明）；具体小布版本未知；入口在左侧，不等同16手册右下角附件,,
OPP-F05,OGDOC7-C,image,../../media/mobile-v2/local/assets/thumbs/OGDOC7-C-crop-v7.png,https://www.oppo.cn/thread-402316387-1,,ColorOS14（作者正文声明）；具体小布版本未知；入口在左侧，不等同16手册右下角附件,,
OPP-F05,OG7-F05-02,image,../../media/mobile-v2/local/assets/thumbs/OG7-F05-doc-community-02.png,https://www.oppo.cn/thread-402316387-1,,ColorOS14（作者正文声明）；具体小布版本未知；入口在左侧，不等同16手册右下角附件,,
OPP-F05,OG7-F05-03,image,../../media/mobile-v2/local/assets/thumbs/OG7-F05-doc-community-03.png,https://www.oppo.cn/thread-402316387-1,,ColorOS14（作者正文声明）；具体小布版本未知；入口在左侧，不等同16手册右下角附件,,
OPP-F06,MED-V006,video,../../media/mobile-v2/legacy/assets/clips/MED-V006-v1-000000-011950.mp4,https://coloros-website-cn.allawnfs.com/website-resource-20260421/os1611776774710000/video/module3/AI%E8%8F%9C%E5%8D%95%E7%BF%BB%E8%AF%91.mp4,,ColorOS官方演示／片中版本未标,0,11.95
OPP-F07,OM19-01,video,../../media/mobile-v2/local/assets/clips/OM19-01-v19-0019000-0032000.mp4,https://www.coloros.com/article/A00000103/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OG7-F09-official-tips-2025.mp4,中国大陆2025年官方历史教程；机型与精确系统版本未标,19,32
OPP-F07,OP-V03,video,../../media/mobile-v2/legacy/assets/clips/OP-V03-v1-033700-039800.mp4,https://www.oppo.com/content/dam/oppo_com/oppo/event-page-asset/oppo-ai/cn/v1/assets/videos-tips-4-zh.mp4,,Find X8系列演示／系统版本未标,33.7,39.8
OPP-F07,OM19-PHONE-31,image,../../media/mobile-v2/local/assets/thumbs/OM19-PHONE-31-v19.png,https://www.coloros.com/article/A00000103/,,中国大陆2025年官方历史教程；机型与精确系统版本未标,,
OPP-F07,OM19-PHONE-29,image,../../media/mobile-v2/local/assets/thumbs/OM19-PHONE-29-v19.png,https://www.coloros.com/article/A00000103/,,中国大陆2025年官方历史教程；机型与精确系统版本未标,,
OPP-F07,OM19-PHONE-24,image,../../media/mobile-v2/local/assets/thumbs/OM19-PHONE-24-v19.png,https://www.coloros.com/article/A00000103/,,中国大陆2025年官方历史教程；机型与精确系统版本未标,,
OPP-F08,OGV7-01,video,../../media/mobile-v2/local/assets/clips/OGV7-01-v2-0000000-0006400.mp4,https://www.oppo.com/cn/smartphones/series-find-x/find-x9-pro/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OG7-F08-voice-official-findx9pro.mp4,Find X9 Pro / ColorOS16中国官网UI动画 / 非实机操作,0,6.4
OPP-F09,OGA7-01,video,../../media/mobile-v2/local/assets/clips/OGA7-01-v2-0073000-0088000.mp4,https://www.coloros.com/article/A00000103/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OG7-F09-official-tips-2025.mp4,2025年ColorOS官方小布建议设置教程 / 历史版本,73,88
OPP-F10,EXT-007,image,../../media/mobile-v2/legacy/assets/images/EXT-007-v1.jpg,https://www.oppo.com/cn/discover/technology/oppo-ai/,,,,
OPP-F11,OPW14-01,video,../../media/mobile-v2/local/assets/clips/OPW14-01-v14-0049000-0059400.mp4,https://www.coloros.com/article/A00000131/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OPW14-official-writing.mp4,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,49,59.4
OPP-F11,EXT-003,image,../../media/mobile-v2/legacy/assets/images/EXT-003-v1.jpg,https://www.oppo.com/cn/discover/technology/oppo-ai/,,,,
OPP-F12,OPW14-03,video,../../media/mobile-v2/local/assets/clips/OPW14-03-v14-0066000-0077300.mp4,https://www.coloros.com/article/A00000131/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OPW14-official-writing.mp4,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,66,77.3
OPP-F12,OPW14-NOTE,image,../../media/mobile-v2/local/assets/thumbs/OPW14-NOTE-v14.png,https://www.coloros.com/article/A00000131/,,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,,
OPP-F12,AUDIMG-317,image,../../media/mobile-v2/legacy/assets/images/AUDIMG-317-v1.jpg,https://www.coloros.com/manual/16/FOT017928.html,,,,
OPP-F20,OPW14-02,video,../../media/mobile-v2/local/assets/clips/OPW14-02-v14-0030500-0045500.mp4,https://www.coloros.com/article/A00000131/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OPW14-official-writing.mp4,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,30.5,45.5
OPP-F21,OPW14-04,video,../../media/mobile-v2/local/assets/clips/OPW14-04-v14-0077400-0083400.mp4,https://www.coloros.com/article/A00000131/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OPW14-official-writing.mp4,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,77.4,83.4
OPP-F21,OPW14-SELECTION,image,../../media/mobile-v2/local/assets/thumbs/OPW14-SELECTION-v14.png,https://www.coloros.com/article/A00000131/,,ColorOS16 / 2026-01官方手机教程 / 中国大陆；机型与build未标,,
OPP-F13,OP-V01,video,../../media/mobile-v2/legacy/assets/clips/OP-V01-v2-070800-075500.mp4,https://www.oppo.com/content/dam/oppo_com/oppo/event-page-asset/oppo-ai/cn/v1/assets/videos-tips-6-zh.mp4,,ColorOS16官方宣传 / 中国大陆 / 机型与build未标,70.8,75.5
OPP-F13,EXT-006,image,../../media/mobile-v2/legacy/assets/images/EXT-006-v1.jpg,https://www.oppo.com/cn/discover/technology/oppo-ai/,,,,
OPP-F14,OA38-01,video,../../media/mobile-v2/local/assets/clips/OA38-01-v38-0023200-0031500.mp4,https://www.bilibili.com/video/BV1G9ZsBiEqB/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP38-audio-note-BV1G9ZsBiEqB.mp4,主控来源信息：祥哥测评，2026-02-15，题名ColorOS16；具体机型/系统构建未由设置页验证。视频内英文字幕与外层黄色字幕应同AI浮窗文字区分。,23.2,31.5
OPP-F14,OA38-02,video,../../media/mobile-v2/local/assets/clips/OA38-02-v38-0031700-0039400.mp4,https://www.bilibili.com/video/BV1G9ZsBiEqB/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP38-audio-note-BV1G9ZsBiEqB.mp4,主控来源信息：祥哥测评，2026-02-15，题名ColorOS16；具体机型/系统构建未由设置页验证。视频内英文字幕与外层黄色字幕应同AI浮窗文字区分。,31.7,39.4
OPP-F14,OA38-03,video,../../media/mobile-v2/local/assets/clips/OA38-03-v38-0041000-0047800.mp4,https://www.bilibili.com/video/BV1G9ZsBiEqB/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP38-audio-note-BV1G9ZsBiEqB.mp4,主控来源信息：祥哥测评，2026-02-15，题名ColorOS16；具体机型/系统构建未由设置页验证。视频内英文字幕与外层黄色字幕应同AI浮窗文字区分。,41,47.8
OPP-F14,OPP-F14-OFFICIAL-202503,image,../../media/mobile-v2/local/assets/thumbs/OPP-F14-official-ui-v2.jpg,https://www.coloros.com/article/A00000095/,,ColorOS15时期官方示例 / 2025-03-20；16路径见手册,,
OPP-F15,OC38-01,video,../../media/mobile-v2/local/assets/clips/OC38-01-v38-0006300-0018300.mp4,https://www.bilibili.com/video/BV15USJY1EVt/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP38-call-BV15USJY1EVt.mp4,主控来源信息：OPPO陈希，2024-10-31，ColorOS15标签；画面记录日期2024/10/29；具体机型/系统构建未核。不能外推ColorOS16。,6.3,18.3
OPP-F15,OC38-02,video,../../media/mobile-v2/local/assets/clips/OC38-02-v38-0053700-0059200.mp4,https://www.bilibili.com/video/BV15USJY1EVt/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/OP38-call-BV15USJY1EVt.mp4,主控来源信息：OPPO陈希，2024-10-31，ColorOS15标签；画面记录日期2024/10/29；具体机型/系统构建未核。不能外推ColorOS16。,53.7,59.2
OPP-F15,OPP-F15-OFFICIAL-202503,image,../../media/mobile-v2/local/assets/thumbs/OPP-F15-official-ui-v2.jpg,https://www.coloros.com/article/A00000095/,,ColorOS15时期官方示例 / 2025-03-20；16路径见手册,,
OPP-F16,EXT-004,image,../../media/mobile-v2/legacy/assets/images/EXT-004-v1.jpg,https://www.oppo.com/cn/discover/technology/oppo-ai/,,,,
OPP-F16,EXT-005,image,../../media/mobile-v2/legacy/assets/images/EXT-005-v1.jpg,https://www.oppo.com/cn/discover/technology/oppo-ai/,,,,
